,age,g,gs,mp,per,ts%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ows,dws,ws,ws/48,obpm,dbpm,bpm,vorp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,srs,wins,mp_per_game,fg_per_game,fga_per_game,2p_per_game,2pa_per_game,ft_per_game,fta_per_game,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game,tm_encode_ATL,tm_encode_BOS,tm_encode_BRK,tm_encode_CHA,tm_encode_CHI,tm_encode_CLE,tm_encode_DAL,tm_encode_DEN,tm_encode_DET,tm_encode_GSW,tm_encode_HOU,tm_encode_IND,tm_encode_LAC,tm_encode_LAL,tm_encode_MEM,tm_encode_MIA,tm_encode_MIL,tm_encode_MIN,tm_encode_NOP,tm_encode_NYK,tm_encode_OKC,tm_encode_ORL,tm_encode_PHI,tm_encode_PHO,tm_encode_POR,tm_encode_SAC,tm_encode_SAS,tm_encode_TOR,tm_encode_TOT,tm_encode_UTA,tm_encode_WAS,pos_encode_C,pos_encode_F,pos_encode_G,conf_encode_East,conf_encode_TOT,conf_encode_West
0,24.0,75.0,52.0,1311.0,13.2,0.551,0.002,0.245,11.0,18.1,14.6,3.0,1.0,1.2,15.6,20.5,0.7,1.3,2.0,0.07400000000000001,-2.3,-1.9,-4.2,-0.7,245.0,473.0,0.518,0.0,1.0,0.0,245.0,472.0,0.519,0.518,88.0,116.0,0.759,126.0,211.0,337.0,27.0,25.0,26.0,97.0,189.0,578.0,4.81,28.0,17.48,3.2666666666666666,6.306666666666667,3.2666666666666666,6.293333333333333,1.1733333333333333,1.5466666666666666,1.68,2.8133333333333335,4.493333333333333,0.36,0.3333333333333333,0.3466666666666667,1.2933333333333332,2.52,7.706666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,23.0,81.0,81.0,2710.0,15.6,0.515,0.14,0.165,2.0,6.8,4.4,20.8,1.5,0.2,11.0,25.5,3.0,2.2,5.1,0.091,1.1,-2.1,-1.0,0.7,633.0,1407.0,0.45,70.0,197.0,0.355,563.0,1210.0,0.465,0.475,217.0,232.0,0.935,51.0,174.0,225.0,344.0,84.0,8.0,187.0,179.0,1553.0,-2.14,36.0,33.45679012345679,7.814814814814815,17.37037037037037,6.950617283950617,14.938271604938272,2.6790123456790123,2.8641975308641974,0.6296296296296297,2.1481481481481484,2.7777777777777777,4.246913580246914,1.037037037037037,0.09876543209876543,2.308641975308642,2.2098765432098766,19.17283950617284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2,30.0,18.0,7.0,269.0,8.9,0.5710000000000001,0.040999999999999995,0.327,10.8,17.4,14.0,2.5,0.5,1.4,18.8,11.0,0.1,0.2,0.3,0.055999999999999994,-3.5,-1.3,-4.9,-0.2,26.0,49.0,0.531,1.0,2.0,0.5,25.0,47.0,0.532,0.541,11.0,16.0,0.688,26.0,41.0,67.0,5.0,3.0,6.0,13.0,34.0,64.0,2.71,39.0,14.944444444444445,1.4444444444444444,2.7222222222222223,1.3888888888888888,2.611111111111111,0.6111111111111112,0.8888888888888888,1.4444444444444444,2.2777777777777777,3.7222222222222223,0.2777777777777778,0.16666666666666666,0.3333333333333333,0.7222222222222222,1.8888888888888888,3.5555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,30.0,70.0,70.0,2499.0,15.6,0.5429999999999999,0.255,0.33299999999999996,2.3,8.6,5.4,30.6,2.0,0.1,15.5,19.2,3.3,1.2,4.6,0.08800000000000001,1.6,-1.6,-0.1,1.2,365.0,831.0,0.439,68.0,212.0,0.321,297.0,619.0,0.48,0.48,237.0,277.0,0.856,52.0,188.0,240.0,526.0,100.0,4.0,175.0,146.0,1035.0,1.61,24.0,35.7,5.214285714285714,11.871428571428572,4.242857142857143,8.842857142857143,3.3857142857142857,3.9571428571428573,0.7428571428571429,2.6857142857142855,3.4285714285714284,7.514285714285714,1.4285714285714286,0.05714285714285714,2.5,2.085714285714286,14.785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
4,28.0,68.0,15.0,1164.0,8.4,0.484,0.083,0.17,4.2,8.2,6.2,6.8,1.0,0.6,12.7,18.2,-0.1,1.0,0.9,0.038,-3.4,-1.2,-4.6,-0.8,182.0,411.0,0.44299999999999995,7.0,34.0,0.20600000000000002,175.0,377.0,0.46399999999999997,0.451,57.0,70.0,0.8140000000000001,45.0,87.0,132.0,53.0,23.0,11.0,64.0,125.0,428.0,1.01,46.0,17.11764705882353,2.676470588235294,6.044117647058823,2.573529411764706,5.544117647058823,0.8382352941176471,1.0294117647058822,0.6617647058823529,1.2794117647058822,1.9411764705882353,0.7794117647058824,0.3382352941176471,0.16176470588235295,0.9411764705882353,1.838235294117647,6.294117647058823,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5,33.0,51.0,15.0,1056.0,13.7,0.525,0.19699999999999998,0.306,4.3,12.0,8.0,15.3,0.8,0.4,12.4,22.2,1.1,0.7,1.8,0.08199999999999999,-0.3,-1.3,-1.5,0.1,187.0,422.0,0.44299999999999995,30.0,83.0,0.361,157.0,339.0,0.46299999999999997,0.479,99.0,129.0,0.767,43.0,109.0,152.0,105.0,16.0,7.0,68.0,101.0,503.0,-1.1,40.0,20.705882352941178,3.6666666666666665,8.27450980392157,3.0784313725490198,6.647058823529412,1.9411764705882353,2.5294117647058822,0.8431372549019608,2.1372549019607843,2.980392156862745,2.0588235294117645,0.3137254901960784,0.13725490196078433,1.3333333333333333,1.9803921568627452,9.862745098039216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6,33.0,80.0,0.0,2163.0,14.3,0.596,0.51,0.19899999999999998,2.6,8.3,5.5,16.5,1.5,0.2,12.5,17.3,4.5,1.8,6.2,0.139,3.0,-1.3,1.6,2.0,337.0,730.0,0.462,150.0,372.0,0.40299999999999997,187.0,358.0,0.522,0.564,123.0,145.0,0.848,49.0,165.0,214.0,260.0,69.0,8.0,113.0,175.0,947.0,6.27,62.0,27.0375,4.2125,9.125,2.3375,4.475,1.5375,1.8125,0.6125,2.0625,2.675,3.25,0.8625,0.1,1.4125,2.1875,11.8375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7,23.0,72.0,59.0,1753.0,14.3,0.5479999999999999,0.033,0.243,8.4,18.4,13.4,7.8,0.9,1.9,14.0,20.0,1.6,1.4,3.0,0.083,-1.2,-0.5,-1.8,0.1,344.0,667.0,0.516,10.0,22.0,0.455,334.0,645.0,0.518,0.523,111.0,162.0,0.685,132.0,288.0,420.0,93.0,34.0,53.0,120.0,218.0,809.0,-0.94,34.0,24.34722222222222,4.777777777777778,9.26388888888889,4.638888888888889,8.958333333333334,1.5416666666666667,2.25,1.8333333333333333,4.0,5.833333333333333,1.2916666666666667,0.4722222222222222,0.7361111111111112,1.6666666666666667,3.0277777777777777,11.23611111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8,22.0,16.0,0.0,44.0,11.3,0.44299999999999995,0.0,0.722,15.6,19.6,17.7,9.9,3.5,1.5,17.4,28.2,0.0,0.1,0.1,0.091,-4.5,2.2,-2.3,0.0,5.0,18.0,0.278,0.0,0.0,0.0,5.0,18.0,0.278,0.278,11.0,13.0,0.846,6.0,8.0,14.0,3.0,3.0,1.0,5.0,14.0,21.0,5.87,60.0,2.75,0.3125,1.125,0.3125,1.125,0.6875,0.8125,0.375,0.5,0.875,0.1875,0.1875,0.0625,0.3125,0.875,1.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
9,22.0,55.0,55.0,2010.0,16.6,0.48700000000000004,0.028999999999999998,0.273,2.8,9.5,6.1,34.7,2.4,0.3,13.8,23.1,1.9,2.5,4.4,0.106,1.2,0.2,1.4,1.7,370.0,850.0,0.435,7.0,25.0,0.28,363.0,825.0,0.44,0.439,180.0,232.0,0.7759999999999999,51.0,175.0,226.0,449.0,96.0,11.0,153.0,140.0,927.0,-1.2,54.0,36.54545454545455,6.7272727272727275,15.454545454545455,6.6,15.0,3.272727272727273,4.218181818181818,0.9272727272727272,3.1818181818181817,4.109090909090909,8.163636363636364,1.7454545454545454,0.2,2.7818181818181817,2.5454545454545454,16.854545454545455,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
