Season,Lg,Tm,Player1,Player2,Player3,Player4,Player5
2017-18,NBA,1st,Anthony Davis C,LeBron James F,Kevin Durant F,Damian Lillard G,James Harden G
2017-18,NBA,2nd,Joel Embiid C,Giannis Antetokounmpo F,LaMarcus Aldridge F,Russell Westbrook G,DeMar DeRozan G
2017-18,NBA,3rd,Karl-Anthony Towns C,Jimmy Butler F,Paul George F,Stephen Curry G,Victor Oladipo G
2016-17,NBA,1st,Anthony Davis C,LeBron James F,Kawhi Leonard F,James Harden G,Russell Westbrook G
2016-17,NBA,2nd,Rudy Gobert C,Giannis Antetokounmpo F,Kevin Durant F,Stephen Curry G,Isaiah Thomas G
2016-17,NBA,3rd,DeAndre Jordan C,Draymond Green F,Jimmy Butler F,John Wall G,DeMar DeRozan G
2015-16,NBA,1st,DeAndre Jordan C,LeBron James F,Kawhi Leonard F,Stephen Curry G,Russell Westbrook G
2015-16,NBA,2nd,DeMarcus Cousins C,Kevin Durant F,Draymond Green F,Chris Paul G,Damian Lillard G
2015-16,NBA,3rd,Andre Drummond C,Paul George F,LaMarcus Aldridge F,Klay Thompson G,Kyle Lowry G
2014-15,NBA,1st,Marc Gasol C,LeBron James F,Anthony Davis F,Stephen Curry G,James Harden G
2014-15,NBA,2nd,DeMarcus Cousins C,Pau Gasol C,LaMarcus Aldridge F,Russell Westbrook G,Chris Paul G
2014-15,NBA,3rd,DeAndre Jordan C,Blake Griffin F,Tim Duncan F,Klay Thompson G,Kyrie Irving G
2013-14,NBA,1st,Joakim Noah C,Kevin Durant F,LeBron James F,James Harden G,Chris Paul G
2013-14,NBA,2nd,Dwight Howard C,Blake Griffin F,Kevin Love F,Stephen Curry G,Tony Parker G
2013-14,NBA,3rd,Al Jefferson C,Paul George F,LaMarcus Aldridge F,Goran Dragic G,Damian Lillard G
2012-13,NBA,1st,Tim Duncan C,Kevin Durant F,LeBron James F,Kobe Bryant G,Chris Paul G
2012-13,NBA,2nd,Marc Gasol C,Carmelo Anthony F,Blake Griffin F,Tony Parker G,Russell Westbrook G
2012-13,NBA,3rd,Dwight Howard C,Paul George F,David Lee F,James Harden G,Dwyane Wade G
2011-12,NBA,1st,Dwight Howard C,Kevin Durant F,LeBron James F,Kobe Bryant G,Chris Paul G
