name,starter,reserve,year,year-player
michael jordan,1.0,0.0,1989.0,1989.0michael jordan
isiah thomas,1.0,0.0,1989.0,1989.0isiah thomas
charles barkley,1.0,0.0,1989.0,1989.0charles barkley
moses malone,1.0,0.0,1989.0,1989.0moses malone
dominique wilkins,1.0,0.0,1989.0,1989.0dominique wilkins
mark price,0.0,1.0,1989.0,1989.0mark price
terry cummings,0.0,1.0,1989.0,1989.0terry cummings
larry nance,0.0,1.0,1989.0,1989.0larry nance
patrick ewing,0.0,1.0,1989.0,1989.0patrick ewing
kevin mchale,0.0,1.0,1989.0,1989.0kevin mchale
mark jackson,0.0,1.0,1989.0,1989.0mark jackson
brad daugherty,0.0,1.0,1989.0,1989.0brad daugherty
john stockton,1.0,0.0,1989.0,1989.0john stockton
alex english,1.0,0.0,1989.0,1989.0alex english
karl malone,1.0,0.0,1989.0,1989.0karl malone
dale ellis,1.0,0.0,1989.0,1989.0dale ellis
hakeem olajuwon,1.0,0.0,1989.0,1989.0hakeem olajuwon
clyde drexler,0.0,1.0,1989.0,1989.0clyde drexler
james worthy,0.0,1.0,1989.0,1989.0james worthy
tom chambers,0.0,1.0,1989.0,1989.0tom chambers
chris mullin,0.0,1.0,1989.0,1989.0chris mullin
kareem abdul-jabbar,0.0,1.0,1989.0,1989.0kareem abdul-jabbar
mark eaton,0.0,1.0,1989.0,1989.0mark eaton
kevin duckworth,0.0,1.0,1989.0,1989.0kevin duckworth
michael jordan,1.0,0.0,1990.0,1990.0michael jordan
isiah thomas,1.0,0.0,1990.0,1990.0isiah thomas
patrick ewing,1.0,0.0,1990.0,1990.0patrick ewing
larry bird,1.0,0.0,1990.0,1990.0larry bird
charles barkley,1.0,0.0,1990.0,1990.0charles barkley
robert parish,0.0,1.0,1990.0,1990.0robert parish
kevin mchale,0.0,1.0,1990.0,1990.0kevin mchale
joe dumars,0.0,1.0,1990.0,1990.0joe dumars
dominique wilkins,0.0,1.0,1990.0,1990.0dominique wilkins
reggie miller,0.0,1.0,1990.0,1990.0reggie miller
scottie pippen,0.0,1.0,1990.0,1990.0scottie pippen
dennis rodman,0.0,1.0,1990.0,1990.0dennis rodman
hakeem olajuwon,1.0,0.0,1990.0,1990.0hakeem olajuwon
magic johnson,1.0,0.0,1990.0,1990.0magic johnson
james worthy,1.0,0.0,1990.0,1990.0james worthy
john stockton,1.0,0.0,1990.0,1990.0john stockton
a.c. green,1.0,0.0,1990.0,1990.0a.c. green
david robinson,0.0,1.0,1990.0,1990.0david robinson
fat lever,0.0,1.0,1990.0,1990.0fat lever
tom chambers,0.0,1.0,1990.0,1990.0tom chambers
rolando blackman,0.0,1.0,1990.0,1990.0rolando blackman
clyde drexler,0.0,1.0,1990.0,1990.0clyde drexler
chris mullin,0.0,1.0,1990.0,1990.0chris mullin
kevin johnson,0.0,1.0,1990.0,1990.0kevin johnson
michael jordan,1.0,0.0,1991.0,1991.0michael jordan
charles barkley,1.0,0.0,1991.0,1991.0charles barkley
patrick ewing,1.0,0.0,1991.0,1991.0patrick ewing
bernard king,1.0,0.0,1991.0,1991.0bernard king
joe dumars,1.0,0.0,1991.0,1991.0joe dumars
dominique wilkins,0.0,1.0,1991.0,1991.0dominique wilkins
ricky pierce,0.0,1.0,1991.0,1991.0ricky pierce
hersey hawkins,0.0,1.0,1991.0,1991.0hersey hawkins
kevin mchale,0.0,1.0,1991.0,1991.0kevin mchale
brad daugherty,0.0,1.0,1991.0,1991.0brad daugherty
alvin robertson,0.0,1.0,1991.0,1991.0alvin robertson
robert parish,0.0,1.0,1991.0,1991.0robert parish
karl malone,1.0,0.0,1991.0,1991.0karl malone
magic johnson,1.0,0.0,1991.0,1991.0magic johnson
chris mullin,1.0,0.0,1991.0,1991.0chris mullin
kevin johnson,1.0,0.0,1991.0,1991.0kevin johnson
david robinson,1.0,0.0,1991.0,1991.0david robinson
james worthy,0.0,1.0,1991.0,1991.0james worthy
clyde drexler,0.0,1.0,1991.0,1991.0clyde drexler
kevin duckworth,0.0,1.0,1991.0,1991.0kevin duckworth
tom chambers,0.0,1.0,1991.0,1991.0tom chambers
terry porter,0.0,1.0,1991.0,1991.0terry porter
tim hardaway,0.0,1.0,1991.0,1991.0tim hardaway
john stockton,0.0,1.0,1991.0,1991.0john stockton
