season,lg,tm,player,position
2018.0,NBA,1st,Anthony Davis,C
2018.0,NBA,2nd,Joel Embiid,C
2018.0,NBA,3rd,Karl-Anthony Towns,C
2017.0,NBA,1st,Anthony Davis,C
2017.0,NBA,2nd,Rudy Gobert,C
2017.0,NBA,3rd,DeAndre Jordan,C
2016.0,NBA,1st,DeAndre Jordan,C
2016.0,NBA,2nd,DeMarcus Cousins,C
2016.0,NBA,3rd,Andre Drummond,C
2015.0,NBA,1st,Marc Gasol,C
2015.0,NBA,2nd,DeMarcus Cousins,C
2015.0,NBA,3rd,DeAndre Jordan,C
2014.0,NBA,1st,Joakim Noah,C
2014.0,NBA,2nd,Dwight Howard,C
2014.0,NBA,3rd,Al Jefferson,C
2013.0,NBA,1st,Tim Duncan,C
2013.0,NBA,2nd,Marc Gasol,C
2013.0,NBA,3rd,Dwight Howard,C
2012.0,NBA,1st,Dwight Howard,C
2012.0,NBA,2nd,Andrew Bynum,C
2012.0,NBA,3rd,Tyson Chandler,C
2011.0,NBA,1st,Dwight Howard,C
2011.0,NBA,2nd,Amar'e Stoudemire,C
2011.0,NBA,3rd,Al Horford,C
2010.0,NBA,1st,Dwight Howard,C
2010.0,NBA,2nd,Amar'e Stoudemire,C
2010.0,NBA,3rd,Andrew Bogut,C
2009.0,NBA,1st,Dwight Howard,C
2009.0,NBA,2nd,Yao Ming,C
2009.0,NBA,3rd,Shaquille O'Neal,C
2008.0,NBA,1st,Dwight Howard,C
2008.0,NBA,2nd,Amar'e Stoudemire,C
2008.0,NBA,3rd,Yao Ming,C
2007.0,NBA,1st,Amar'e Stoudemire,C
2007.0,NBA,2nd,Yao Ming,C
2007.0,NBA,3rd,Dwight Howard,C
2006.0,NBA,1st,Shaquille O'Neal,C
2006.0,NBA,2nd,Ben Wallace,C
2006.0,NBA,3rd,Yao Ming,C
2005.0,NBA,1st,Shaquille O'Neal,C
2005.0,NBA,2nd,Amar'e Stoudemire,C
2005.0,NBA,3rd,Ben Wallace,C
2004.0,NBA,1st,Shaquille O'Neal,C
2004.0,NBA,2nd,Ben Wallace,C
2004.0,NBA,3rd,Yao Ming,C
2003.0,NBA,1st,Shaquille O'Neal,C
2003.0,NBA,2nd,Ben Wallace,C
2003.0,NBA,3rd,Jermaine O'Neal,C
2002.0,NBA,1st,Shaquille O'Neal,C
2002.0,NBA,2nd,Dirk Nowitzki,C
2002.0,NBA,3rd,Dikembe Mutombo,C
2001.0,NBA,1st,Shaquille O'Neal,C
2001.0,NBA,2nd,Dikembe Mutombo,C
2001.0,NBA,3rd,David Robinson,C
1900.0,NBA,1st,Shaquille O'Neal,C
1900.0,NBA,2nd,Alonzo Mourning,C
1900.0,NBA,3rd,David Robinson,C
1999.0,NBA,1st,Alonzo Mourning,C
1999.0,NBA,2nd,Shaquille O'Neal,C
1999.0,NBA,3rd,Hakeem Olajuwon,C
1998.0,NBA,1st,Shaquille O'Neal,C
1998.0,NBA,2nd,David Robinson,C
1998.0,NBA,3rd,Dikembe Mutombo,C
1997.0,NBA,1st,Hakeem Olajuwon,C
1997.0,NBA,2nd,Patrick Ewing,C
1997.0,NBA,3rd,Shaquille O'Neal,C
1996.0,NBA,1st,David Robinson,C
1996.0,NBA,2nd,Hakeem Olajuwon,C
1996.0,NBA,3rd,Shaquille O'Neal,C
1995.0,NBA,1st,David Robinson,C
1995.0,NBA,2nd,Shaquille O'Neal,C
1995.0,NBA,3rd,Hakeem Olajuwon,C
1994.0,NBA,1st,Hakeem Olajuwon,C
1994.0,NBA,2nd,David Robinson,C
1994.0,NBA,3rd,Shaquille O'Neal,C
1993.0,NBA,1st,Hakeem Olajuwon,C
1993.0,NBA,2nd,Patrick Ewing,C
1993.0,NBA,3rd,David Robinson,C
1992.0,NBA,1st,David Robinson,C
1992.0,NBA,2nd,Patrick Ewing,C
1992.0,NBA,3rd,Brad Daugherty,C
1991.0,NBA,1st,David Robinson,C
1991.0,NBA,2nd,Patrick Ewing,C
1991.0,NBA,3rd,Hakeem Olajuwon,C
1990.0,NBA,1st,Patrick Ewing,C
1990.0,NBA,2nd,Hakeem Olajuwon,C
1990.0,NBA,3rd,David Robinson,C
1989.0,NBA,1st,Hakeem Olajuwon,C
1989.0,NBA,2nd,Patrick Ewing,C
1989.0,NBA,3rd,Robert Parish,C
1988.0,NBA,1st,Hakeem Olajuwon,C
1988.0,NBA,2nd,Patrick Ewing,C
1987.0,NBA,1st,Hakeem Olajuwon,C
1987.0,NBA,2nd,Moses Malone,C
1986.0,NBA,1st,Kareem Abdul-Jabbar,C
1986.0,NBA,2nd,Hakeem Olajuwon,C
1985.0,NBA,1st,Moses Malone,C
1985.0,NBA,2nd,Kareem Abdul-Jabbar,C
1984.0,NBA,1st,Kareem Abdul-Jabbar,C
1984.0,NBA,2nd,Moses Malone,C
1983.0,NBA,1st,Moses Malone,C
1983.0,NBA,2nd,Kareem Abdul-Jabbar,C
1982.0,NBA,1st,Moses Malone,C
1982.0,NBA,2nd,Robert Parish,C
1981.0,NBA,1st,Kareem Abdul-Jabbar,C
1981.0,NBA,2nd,Moses Malone,C
1980.0,NBA,1st,Kareem Abdul-Jabbar,C
1980.0,NBA,2nd,Moses Malone,C
1979.0,NBA,1st,Moses Malone,C
1979.0,NBA,2nd,Kareem Abdul-Jabbar,C
1978.0,NBA,1st,Bill Walton,C
1978.0,NBA,2nd,Kareem Abdul-Jabbar,C
1977.0,NBA,1st,Kareem Abdul-Jabbar,C
1977.0,NBA,2nd,Bill Walton,C
1976.0,NBA,1st,Kareem Abdul-Jabbar,C
1976.0,NBA,2nd,Dave Cowens,C
1976.0,ABA,1st,Artis Gilmore,C
1976.0,ABA,2nd,Dan Issel,C
1975.0,NBA,1st,Bob McAdoo,C
1975.0,NBA,2nd,Dave Cowens,C
1975.0,ABA,1st,Artis Gilmore,C
1975.0,ABA,2nd,Swen Nater,C
1974.0,NBA,1st,Kareem Abdul-Jabbar,C
1974.0,NBA,2nd,Bob McAdoo,C
1974.0,ABA,1st,Artis Gilmore,C
1974.0,ABA,2nd,Swen Nater,C
1973.0,NBA,1st,Kareem Abdul-Jabbar,C
1973.0,NBA,2nd,Dave Cowens,C
1973.0,ABA,1st,Artis Gilmore,C
1973.0,ABA,2nd,Mel Daniels,C
1972.0,NBA,1st,Kareem Abdul-Jabbar,C
1972.0,NBA,2nd,Wilt Chamberlain,C
1972.0,ABA,1st,Artis Gilmore,C
1972.0,ABA,2nd,Zelmo Beaty,C
1971.0,NBA,1st,Kareem Abdul-Jabbar,C
1971.0,NBA,2nd,Willis Reed,C
1971.0,ABA,1st,Mel Daniels,C
1971.0,ABA,2nd,John Brisker,F
1970.0,NBA,1st,Willis Reed,C
1970.0,NBA,2nd,Kareem Abdul-Jabbar,C
1970.0,ABA,1st,Mel Daniels,C
1970.0,ABA,2nd,Red Robbins,C
1969.0,NBA,1st,Wes Unseld,C
1969.0,NBA,2nd,Willis Reed,C
1969.0,ABA,1st,Mel Daniels,C
1969.0,ABA,2nd,Red Robbins,C
1968.0,NBA,1st,Wilt Chamberlain,C
1968.0,NBA,2nd,Bill Russell,C
1968.0,ABA,1st,Mel Daniels,C
1968.0,ABA,2nd,John Beasley,C
1967.0,NBA,1st,Wilt Chamberlain,C
1967.0,NBA,2nd,Bill Russell,C
1966.0,NBA,1st,Wilt Chamberlain,C
1966.0,NBA,2nd,Bill Russell,C
1965.0,NBA,1st,Bill Russell,C
1965.0,NBA,2nd,Wilt Chamberlain,C
1964.0,NBA,1st,Wilt Chamberlain,C
1964.0,NBA,2nd,Bill Russell,C
1963.0,NBA,1st,Bill Russell,C
1963.0,NBA,2nd,Wilt Chamberlain,C
1962.0,NBA,1st,Wilt Chamberlain,C
1962.0,NBA,2nd,Bill Russell,C
1961.0,NBA,1st,Wilt Chamberlain,C
1961.0,NBA,2nd,Bill Russell,C
1960.0,NBA,1st,Wilt Chamberlain,C
1960.0,NBA,2nd,Bill Russell,C
1959.0,NBA,1st,Bill Russell,C
1959.0,NBA,2nd,Dolph Schayes,C
1958.0,NBA,1st,Bob Pettit,C
1958.0,NBA,2nd,Bill Russell,C
1957.0,NBA,1st,Bob Pettit,C
