year,player,listed_pos,age,tm_name,g,gs,mp,per,ts%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ows,dws,ws,ws/48,obpm,dbpm,bpm,vorp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,year-player,award_tm,award_pos,starter,reserve,all_star
1989.0,kareem abdul-jabbar,C,41.0,LAL,74.0,74.0,1695.0,12.9,0.511,0.005,0.25,7.3,14.2,11.0,6.1,1.1,2.9,11.5,20.1,0.9,2.0,2.9,0.08199999999999999,-2.3,0.0,-2.3,-0.1,313.0,659.0,0.475,0.0,3.0,0.0,313.0,656.0,0.477,0.475,122.0,165.0,0.7390000000000001,103.0,231.0,334.0,74.0,38.0,85.0,95.0,196.0,748.0,1989.0kareem abdul-jabbar,0,C,0.0,1.0,1.0
1989.0,charles barkley,PF,25.0,PHI,79.0,79.0,3088.0,27.0,0.653,0.134,0.6609999999999999,14.5,21.3,17.9,16.0,2.0,1.3,14.0,24.4,13.2,2.9,16.1,0.25,8.5,1.3,9.8,9.2,700.0,1208.0,0.579,35.0,162.0,0.21600000000000005,665.0,1046.0,0.636,0.594,602.0,799.0,0.753,403.0,583.0,986.0,325.0,126.0,67.0,254.0,262.0,2037.0,1989.0charles barkley,1,F,1.0,0.0,1.0
1989.0,tom chambers,PF,29.0,PHO,81.0,81.0,3002.0,19.3,0.547,0.052000000000000005,0.364,5.3,18.4,12.1,11.1,1.3,1.0,10.8,28.2,5.1,4.1,9.2,0.146,1.2,0.0,1.2,2.4,774.0,1643.0,0.471,28.0,86.0,0.326,746.0,1557.0,0.479,0.48,509.0,598.0,0.851,143.0,541.0,684.0,231.0,87.0,55.0,231.0,271.0,2085.0,1989.0tom chambers,2,F,0.0,1.0,1.0
1989.0,terry cummings,SF,27.0,MIL,80.0,78.0,2824.0,19.7,0.518,0.01,0.294,11.3,15.3,13.3,11.7,1.8,1.6,10.2,28.9,4.2,3.5,7.7,0.131,1.6,0.0,1.7,2.6,730.0,1563.0,0.467,7.0,15.0,0.467,723.0,1548.0,0.467,0.469,362.0,460.0,0.787,281.0,369.0,650.0,198.0,106.0,72.0,201.0,265.0,1829.0,1989.0terry cummings,3,F,0.0,1.0,1.0
1989.0,brad daugherty,C,23.0,CLE,78.0,78.0,2821.0,18.5,0.594,0.003,0.518,7.1,20.9,14.4,14.8,1.1,0.8,15.6,22.2,5.0,4.6,9.6,0.16399999999999998,1.2,1.4,2.6,3.3,544.0,1012.0,0.5379999999999999,1.0,3.0,0.333,543.0,1009.0,0.5379999999999999,0.5379999999999999,386.0,524.0,0.737,167.0,551.0,718.0,285.0,63.0,40.0,230.0,175.0,1475.0,1989.0brad daugherty,0,C,0.0,1.0,1.0
1989.0,clyde drexler,SG,26.0,POR,78.0,78.0,3064.0,23.6,0.555,0.062,0.328,9.9,11.9,10.9,22.2,3.2,1.0,11.6,27.2,8.8,3.8,12.6,0.197,5.9,1.5,7.3,7.2,829.0,1672.0,0.496,27.0,104.0,0.26,802.0,1568.0,0.511,0.504,438.0,548.0,0.799,289.0,326.0,615.0,450.0,213.0,54.0,250.0,269.0,2123.0,1989.0clyde drexler,0,SG,0.0,1.0,1.0
1989.0,kevin duckworth,C,24.0,POR,79.0,79.0,2662.0,13.9,0.531,0.002,0.369,9.7,16.4,12.9,3.1,1.0,1.1,12.9,22.4,2.5,2.3,4.8,0.086,-1.7,-2.0,-3.7,-1.1,554.0,1161.0,0.477,0.0,2.0,0.0,554.0,1159.0,0.478,0.477,324.0,428.0,0.757,246.0,389.0,635.0,60.0,56.0,49.0,200.0,300.0,1432.0,1989.0kevin duckworth,0,C,0.0,1.0,1.0
1989.0,mark eaton,C,32.0,UTA,82.0,82.0,2914.0,10.6,0.513,0.0,0.491,9.4,21.8,16.1,3.8,0.7,6.5,22.3,9.2,0.0,6.5,6.6,0.108,-3.1,6.1,3.0,3.7,188.0,407.0,0.462,0.0,0.0,0.0,188.0,407.0,0.462,0.462,132.0,200.0,0.66,227.0,616.0,843.0,83.0,40.0,315.0,142.0,290.0,508.0,1989.0mark eaton,0,C,0.0,1.0,1.0
1989.0,dale ellis,SG,28.0,SEA,82.0,82.0,3190.0,19.7,0.589,0.198,0.27,5.3,6.7,6.0,8.1,1.6,0.4,10.2,26.6,9.2,1.6,10.8,0.163,4.6,-2.6,2.1,3.3,857.0,1710.0,0.501,162.0,339.0,0.478,695.0,1371.0,0.507,0.5489999999999999,377.0,462.0,0.816,156.0,186.0,342.0,164.0,108.0,22.0,218.0,197.0,2253.0,1989.0dale ellis,3,G,1.0,0.0,1.0
1989.0,alex english,SF,35.0,DEN,82.0,82.0,2990.0,19.0,0.531,0.004,0.201,4.8,6.5,5.6,19.7,1.0,0.2,8.8,28.8,5.1,1.7,6.8,0.11,2.5,-2.7,-0.2,1.3,924.0,1881.0,0.491,2.0,8.0,0.25,922.0,1873.0,0.4920000000000001,0.4920000000000001,325.0,379.0,0.858,148.0,178.0,326.0,383.0,66.0,12.0,198.0,174.0,2175.0,1989.0alex english,0,SF,1.0,0.0,1.0
1989.0,patrick ewing,C,26.0,NYK,80.0,80.0,2896.0,22.1,0.607,0.005,0.378,8.0,20.7,14.2,9.5,1.9,5.6,15.1,23.6,6.2,4.7,10.9,0.181,1.5,3.2,4.7,4.9,727.0,1282.0,0.5670000000000001,0.0,6.0,0.0,727.0,1276.0,0.57,0.5670000000000001,361.0,484.0,0.746,213.0,527.0,740.0,188.0,117.0,281.0,266.0,311.0,1815.0,1989.0patrick ewing,2,C,0.0,1.0,1.0
1989.0,mark jackson,PG,23.0,NYK,72.0,72.0,2477.0,18.3,0.535,0.234,0.252,4.6,10.8,7.7,33.7,2.6,0.2,16.6,21.3,4.8,2.5,7.2,0.14,3.2,0.1,3.3,3.3,479.0,1025.0,0.467,81.0,240.0,0.338,398.0,785.0,0.507,0.507,180.0,258.0,0.698,106.0,235.0,341.0,619.0,139.0,7.0,226.0,163.0,1219.0,1989.0mark jackson,0,PG,0.0,1.0,1.0
1989.0,michael jordan,SG,25.0,CHI,81.0,81.0,3255.0,31.1,0.614,0.055,0.442,5.5,17.3,11.6,34.7,3.6,1.2,11.9,32.1,14.6,5.2,19.8,0.292,9.8,2.7,12.6,12.0,966.0,1795.0,0.5379999999999999,27.0,98.0,0.276,939.0,1697.0,0.5529999999999999,0.546,674.0,793.0,0.85,149.0,503.0,652.0,650.0,234.0,65.0,290.0,247.0,2633.0,1989.0michael jordan,1,G,1.0,0.0,1.0
1989.0,karl malone,PF,25.0,UTA,80.0,80.0,3126.0,24.4,0.5920000000000001,0.01,0.589,10.0,19.6,15.1,12.8,2.3,1.3,12.7,30.4,8.6,6.6,15.2,0.233,4.2,1.9,6.1,6.5,809.0,1559.0,0.519,5.0,16.0,0.313,804.0,1543.0,0.521,0.521,703.0,918.0,0.7659999999999999,259.0,594.0,853.0,219.0,144.0,70.0,285.0,286.0,2326.0,1989.0karl malone,1,F,1.0,0.0,1.0
