conference,losses,name,rank,srs,wins,year
East,30,New York Knicks,2,3.62,52,1989
East,36,Philadelphia 76ers,7,1.68,46,1989
East,40,Boston Celtics,8,1.26,42,1989
East,42,Washington Bullets,9,-1.77,40,1989
East,56,New Jersey Nets,11,-5.69,26,1989
East,62,Charlotte Hornets,12,-7.74,20,1989
East,19,Detroit Pistons,1,6.24,63,1989
East,25,Cleveland Cavaliers,3,7.95,57,1989
East,30,Atlanta Hawks,4,5.26,52,1989
East,33,Milwaukee Bucks,5,4.11,49,1989
East,35,Chicago Bulls,6,2.13,47,1989
East,54,Indiana Pacers,10,-3.0,28,1989
West,31,Utah Jazz,2,4.01,51,1989
West,37,Houston Rockets,5,0.22,45,1989
West,38,Denver Nuggets,6,0.91,44,1989
West,44,Dallas Mavericks,9,-1.79,38,1989
West,61,San Antonio Spurs,12,-7.45,21,1989
West,67,Miami Heat,13,-11.13,15,1989
West,25,Los Angeles Lakers,1,6.38,57,1989
West,27,Phoenix Suns,3,6.84,55,1989
West,35,Seattle SuperSonics,4,2.44,47,1989
West,39,Golden State Warriors,7,-0.59,43,1989
West,43,Portland Trail Blazers,8,0.92,39,1989
West,55,Sacramento Kings,10,-5.35,27,1989
West,61,Los Angeles Clippers,11,-9.5,21,1989
East,29,Philadelphia 76ers,2,4.23,53,1990
East,30,Boston Celtics,4,3.23,52,1990
East,37,New York Knicks,5,0.78,45,1990
East,51,Washington Bullets,10,-2.43,31,1990
East,64,Miami Heat,11,-9.59,18,1990
East,65,New Jersey Nets,13,-7.82,17,1990
East,23,Detroit Pistons,1,5.41,59,1990
East,27,Chicago Bulls,3,2.74,55,1990
East,38,Milwaukee Bucks,6,-1.06,44,1990
East,40,Cleveland Cavaliers,7,-0.62,42,1990
East,40,Indiana Pacers,8,-0.18,42,1990
East,41,Atlanta Hawks,9,0.64,41,1990
East,64,Orlando Magic,12,-8.73,18,1990
West,26,San Antonio Spurs,2,3.58,56,1990
West,27,Utah Jazz,4,4.82,55,1990
West,35,Dallas Mavericks,6,0.42,47,1990
West,39,Denver Nuggets,7,1.56,43,1990
West,41,Houston Rockets,8,1.71,41,1990
West,60,Minnesota Timberwolves,13,-3.6,22,1990
West,63,Charlotte Hornets,14,-7.0,19,1990
West,19,Los Angeles Lakers,1,6.74,63,1990
West,23,Portland Trail Blazers,3,6.48,59,1990
West,28,Phoenix Suns,5,7.09,54,1990
West,41,Seattle SuperSonics,9,1.4,41,1990
West,45,Golden State Warriors,10,-2.55,37,1990
West,52,Los Angeles Clippers,11,-2.8,30,1990
West,59,Sacramento Kings,12,-4.41,23,1990
East,26,Boston Celtics,2,5.22,56,1991
East,38,Philadelphia 76ers,5,-0.39,44,1991
East,43,New York Knicks,8,-0.43,39,1991
East,52,Washington Bullets,10,-4.84,30,1991
East,56,New Jersey Nets,11,-4.53,26,1991
East,58,Miami Heat,13,-5.91,24,1991
East,21,Chicago Bulls,1,8.57,61,1991
East,32,Detroit Pistons,3,3.08,50,1991
East,34,Milwaukee Bucks,4,2.33,48,1991
East,39,Atlanta Hawks,6,0.72,43,1991
East,41,Indiana Pacers,7,-0.37,41,1991
East,49,Cleveland Cavaliers,9,-2.33,33,1991
East,56,Charlotte Hornets,12,-4.95,26,1991
West,27,San Antonio Spurs,2,4.3,55,1991
West,28,Utah Jazz,5,3.18,54,1991
West,30,Houston Rockets,6,3.27,52,1991
West,51,Orlando Magic,9,-3.79,31,1991
West,53,Minnesota Timberwolves,11,-3.75,29,1991
West,54,Dallas Mavericks,12,-4.27,28,1991
West,62,Denver Nuggets,14,-10.31,20,1991
West,19,Portland Trail Blazers,1,8.47,63,1991
West,24,Los Angeles Lakers,3,6.73,58,1991
West,27,Phoenix Suns,4,6.49,55,1991
West,38,Golden State Warriors,7,1.72,44,1991
West,41,Seattle SuperSonics,8,1.31,41,1991
West,51,Los Angeles Clippers,10,-3.16,31,1991
West,57,Sacramento Kings,13,-6.27,25,1991
East,31,Boston Celtics,2,3.41,51,1992
East,31,New York Knicks,4,3.67,51,1992
East,42,New Jersey Nets,6,-1.54,40,1992
East,44,Miami Heat,8,-3.94,38,1992
East,47,Philadelphia 76ers,10,-1.34,35,1992
East,57,Washington Bullets,13,-4.35,25,1992
East,61,Orlando Magic,14,-6.52,21,1992
East,15,Chicago Bulls,1,10.07,67,1992
East,25,Cleveland Cavaliers,3,5.34,57,1992
East,34,Detroit Pistons,5,2.06,48,1992
East,42,Indiana Pacers,7,1.85,40,1992
East,44,Atlanta Hawks,9,-1.15,38,1992
East,51,Milwaukee Bucks,11,-1.46,31,1992
East,51,Charlotte Hornets,12,-3.57,31,1992
West,27,Utah Jazz,2,5.7,55,1992
West,35,San Antonio Spurs,5,2.81,47,1992
West,40,Houston Rockets,9,-1.94,42,1992
West,58,Denver Nuggets,11,-7.59,24,1992
